Time,To,Φtot
2000-02-06 14:00:00+01:00,13.0,349.22556897067375
2000-02-06 15:00:00+01:00,13.3,144.99568749917137
2000-02-06 16:00:00+01:00,12.0,58.780791855327976
2000-02-06 17:00:00+01:00,12.0,7.7
2000-02-06 18:00:00+01:00,9.5,0.0
2000-02-06 19:00:00+01:00,9.0,0.0
2000-02-06 20:00:00+01:00,9.0,0.0
2000-02-06 21:00:00+01:00,7.3,0.0
2000-02-06 22:00:00+01:00,6.0,0.0
2000-02-06 23:00:00+01:00,5.0,0.0
2000-02-07 00:00:00+01:00,5.4,0.0
2000-02-07 01:00:00+01:00,4.0,0.0
2000-02-07 02:00:00+01:00,3.0,0.0
2000-02-07 03:00:00+01:00,3.6,0.0
2000-02-07 04:00:00+01:00,2.0,0.0
2000-02-07 05:00:00+01:00,2.0,0.0
2000-02-07 06:00:00+01:00,2.8,0.0
2000-02-07 07:00:00+01:00,3.0,0.0
2000-02-07 08:00:00+01:00,3.6,9.8
2000-02-07 09:00:00+01:00,4.2,27.3
2000-02-07 10:00:00+01:00,4.0,50.4
2000-02-07 11:00:00+01:00,4.0,68.6
2000-02-07 12:00:00+01:00,4.6,77.0
2000-02-07 13:00:00+01:00,5.0,128.8508198726375
2000-02-07 14:00:00+01:00,6.0,159.5527860239812
2000-02-07 15:00:00+01:00,6.0,143.66638896249117
2000-02-07 16:00:00+01:00,6.0,54.38162887862035
2000-02-07 17:00:00+01:00,5.0,7.0
2000-02-07 18:00:00+01:00,4.2,0.0
